hero_id,nerf/buff,attribute,strength,intelligence,agility,strength_gain,intellicene_gain,agility_gain,attack_range,base_attack_time,movement_speed,armor,damage_lower,damage_upper,damage_average,missile_speed,cast_duration_before,cast_duration_after,hp_regen,mp_regen,magic_resistance,day_vision,night_vision,turn_rate
npc_dota_hero_antimage,NA,agi,23.0,12.0,22.0,1.3,1.8,3.2,150.0,1.4,310.0,-1.0,29.0,33.0,31.0,0.0,0.3,0.47,0.25,0.9,25.0,1800.0,800.0,0.5
npc_dota_hero_arc_warden,NA,agi,25.0,24.0,15.0,3.0,2.6,2.1,625.0,1.7,280.0,-2.0,31.0,41.0,36.0,900.0,0.3,0.51,0.25,0.9,25.0,1800.0,800.0,0.6
npc_dota_hero_bloodseeker,Nerf,agi,24.0,18.0,24.0,2.7,1.7,3.5,150.0,1.7,290.0,0.0,33.0,39.0,36.0,0.0,0.6,1.5,0.0,0.9,25.0,1800.0,800.0,0.5
npc_dota_hero_bounty_hunter,NA,agi,18,19.0,21.0,2.1,2.0,3,150.0,1.7,315.0,3.0,24.0,38.0,31.0,0.0,0.3,0.51,0.5,0.9,25.0,1800.0,1000.0,0.6
npc_dota_hero_broodmother,NA,agi,18.0,18.0,18,2.8,2.0,2.5,150.0,1.7,270.0,0.0,26.0,32.0,29.0,0.0,0.2,0.51,0.0,0.9,25.0,1800.0,800.0,0.5
npc_dota_hero_clinkz,Buff,agi,16,18.0,22.0,1.9,1.7,3.0,640,1.7,300.0,0.0,15.0,21.0,18.0,900.0,0.5,0.51,0.25,0.9,25.0,1800.0,800.0,0.4
npc_dota_hero_drow_ranger,NA,agi,18.0,15.0,26,1.9,1.4,1.9,625.0,1.7,285.0,-3.0,25.0,36.0,30.5,1250.0,0.4,0.5,0.25,0.9,25.0,1800.0,800.0,0.7
npc_dota_hero_ember_spirit,Nerf,agi,20,20.0,22.0,2.4,1.8,2.1,150.0,1.7,305.0,-1.0,27.0,31.0,29.0,0.0,0.0,0.51,2.0,0.9,25.0,1800.0,800.0,0.5
npc_dota_hero_faceless_void,NA,agi,24.0,15.0,23.0,2.1,1.5,3.2,150.0,1.7,300.0,0.0,33.0,39.0,36.0,0.0,0.35,0.51,0.5,0.9,25.0,1800.0,800.0,1
npc_dota_hero_gyrocopter,NA,agi,22.0,19.0,24,2.1,2.1,2.8,365.0,1.7,325.0,2.0,18.0,28.0,23.0,3000.0,0.3,0.5,0.0,0.9,25.0,1800.0,800.0,0.6
npc_dota_hero_juggernaut,NA,agi,21.0,14.0,26.0,2.2,1.4,2.4,150.0,1.4,300.0,2.0,22.0,26.0,24.0,0.0,0.3,0.51,0.5,0.9,25.0,1800.0,800.0,0.6
npc_dota_hero_lone_druid,NA,agi,18.0,13.0,24,2.4,1.4,2.7,550.0,1.7,320,2.0,18.0,22.0,20.0,900.0,0.5,1.17,0.25,0.9,25.0,1800.0,800.0,0.5
npc_dota_hero_luna,NA,agi,16.0,16.0,18.0,2.2,1.9,3.3,330.0,1.7,335.0,0.0,20.0,26.0,23.0,900.0,0.6,0.4,0.0,0.9,25.0,1800.0,800.0,0.6
npc_dota_hero_medusa,NA,agi,15.0,19.0,20,1.3,2.1,2.5,600.0,1.7,275.0,-1.0,24.0,30.0,27.0,1200.0,0.4,0.5,0.0,0.9,25.0,1800.0,800.0,0.5
npc_dota_hero_meepo,Buff,agi,24.0,20.0,23,1.6,1.6,2.2,150.0,1.7,310,3.0,20.0,26.0,23.0,0.0,0.5,0.5,0.25,0.9,25.0,1800.0,800.0,0.6
npc_dota_hero_mirana,Nerf,agi,18.0,17,18.0,2.2,1.7,3.7,630.0,1.7,295.0,-1.0,25.0,30.0,27.5,900.0,0.5,0.83,0.0,0.9,25.0,1800.0,800.0,0.5
npc_dota_hero_monkey_king,NA,agi,19.0,20.0,22.0,2.8,1.8,3.7,300.0,1.7,300.0,-3.0,29.0,35.0,32.0,0.0,0.0,0.0,1.5,0.9,25.0,1800.0,800.0,0.6
npc_dota_hero_morphling,Nerf,agi,20.0,13.0,24.0,2.3,1.1,4.3,350.0,1.5,280.0,-2.0,9.0,18.0,13.5,1300.0,0.25,0.51,0.0,0.9,25.0,1800.0,800.0,0.6
npc_dota_hero_naga_siren,Nerf,agi,22.0,21.0,21.0,2.8,2.0,3.7,150.0,1.7,315.0,3.0,23.0,25.0,24.0,0.0,0.65,0.7,1.5,0.9,25.0,1800.0,800.0,0.5
npc_dota_hero_nevermore,NA,agi,14.0,18.0,20.0,2.3,2.0,3.3,500.0,1.7,310.0,-2.0,15.0,21.0,18.0,1200.0,0.67,0.4,0.25,0.9,25.0,1800.0,800.0,1
