hero_id,nerf/buff,attribute,strength,intelligence,agility,strength_gain,intellicene_gain,agility_gain,attack_range,base_attack_time,movement_speed,armor,damage_lower,damage_upper,damage_average,missile_speed,cast_duration_before,cast_duration_after,hp_regen,mp_regen,magic_resistance,day_vision,night_vision,turn_rate
npc_dota_hero_antimage,NA,agi,22.0,12.0,22.0,1.3,1.8,3.2,150.0,1.45,310.0,-1.0,27.0,31.0,29.0,0.0,0.3,0.47,1.5,0.9,25.0,1800.0,800.0,0.5
npc_dota_hero_arc_warden,Buff,agi,24.0,24.0,15.0,3.0,2.6,2.1,625.0,1.7,280.0,-2.0,29.0,39.0,34.0,900.0,0.3,0.51,1.5,0.9,25.0,1800.0,800.0,0.6
npc_dota_hero_bloodseeker,Buff,agi,23.0,18.0,24.0,2.7,1.7,3.5,150.0,1.7,290.0,0.0,33.0,39.0,36.0,0.0,0.6,1.5,0.0,0.9,25.0,1800.0,800.0,0.5
npc_dota_hero_bounty_hunter,NA,agi,17,19.0,21.0,2.1,2.0,3,150.0,1.7,315.0,3.0,24.0,38.0,31.0,0.0,0.3,0.51,0.5,0.9,25.0,1800.0,1000.0,0.6
npc_dota_hero_broodmother,Buff,agi,17.0,18.0,18,2.8,2.0,2.5,150.0,1.7,270.0,0.0,26.0,32.0,29.0,0.0,0.2,0.51,0.0,0.9,25.0,1800.0,800.0,0.5
npc_dota_hero_clinkz,NA,agi,15,16,22.0,1.9,1.55,3.0,640,1.7,300.0,-1.0,15.0,21.0,18.0,900.0,0.5,0.51,1.5,0.9,25.0,1800.0,800.0,0.4
npc_dota_hero_drow_ranger,NA,agi,17.0,15.0,26,1.9,1.4,1.9,625.0,1.7,285.0,-3.0,21.0,32.0,26.5,1250.0,0.4,0.5,1.5,0.9,25.0,1800.0,800.0,0.7
npc_dota_hero_ember_spirit,Buff,agi,19,20.0,22.0,2.4,1.8,2.1,150.0,1.7,305.0,-1.0,27.0,31.0,29.0,0.0,0.0,0.51,2.0,0.9,25.0,1800.0,800.0,0.5
npc_dota_hero_faceless_void,Nerf,agi,23.0,15.0,23.0,2.1,1.5,3.2,150.0,1.7,300.0,0.0,33.0,39.0,36.0,0.0,0.35,0.51,0.5,0.9,25.0,1800.0,800.0,1
npc_dota_hero_gyrocopter,NA,agi,21.0,19.0,24,2.1,2.1,2.8,365.0,1.7,325.0,2.0,18.0,28.0,23.0,3000.0,0.3,0.5,0.0,0.9,25.0,1800.0,800.0,0.6
